id	light_intensity	cell_density	B_G1_phase	C_S_phase	D_G2_M_phase	timeline	group
#methods	continuous	continuous	continuous	continuous	continuous	no	no
#descriptions	light intensity (umol photons/m^2s)	cell density (cells/ml in culture (10^7)	proportion of cells in B/G1 phase (%)	proportion of cells in C/S phase (%)	proportion of cells in D/G2+M phase (%)	timeline	group
T0	0	7	80	18	2	0	G1
T2	0	7.4	89	10.1	0.9	2	G1
T4	0	8	91.5	7.5	1	4	G1
T6	27	8.02	93	6	1	6	G1
T8	108	8.05	95.5	4	0.5	8	G1
T10	184	7.75	96.5	3.2	0.3	10	G1
T12	207	7.95	95	3.1	1.9	12	G1
T14	180	8	72	2	26	14	G1
T16	100	8.65	40	19	41	16	G1
T18	10	8.6	31.5	54.5	14	18	G1
T20	0	9.35	40.5	49	10.5	20	G1
T22	0	10.91	65	34.5	0.5	22	G1
T24	0	12.2	79.5	20.5	0	24	G1
T26	0	13.35	89.5	10.5	0	26	G1
